,fake,profile_pic,sim_name_username_Full match,sim_name_username_No match,sim_name_username_Partial match,extern_url,private,ratio_numlen_username,ratio_numlen_fullname,len_desc,num_posts,num_followers,num_following
189,0,1,0.0,0.0,1.0,1,0,0.0,0.0,73,77,244,172
190,0,1,0.0,1.0,0.0,0,1,0.18,0.0,70,93,67,149
191,0,1,0.0,1.0,0.0,0,0,0.0,0.0,35,192,984,76
192,0,1,0.0,1.0,0.0,0,1,0.0,0.0,13,8,751,1223
193,0,1,0.0,0.0,1.0,0,1,0.0,0.25,105,145,781,529
194,0,1,0.0,0.0,1.0,0,0,0.0,0.33,91,135,1761,905
195,0,1,0.0,0.0,1.0,0,1,0.14,0.0,0,18,318,523
196,0,1,0.0,1.0,0.0,0,0,0.0,0.0,48,222,5282,652
197,0,1,0.0,0.0,1.0,0,0,0.0,0.0,48,222,5282,652
198,0,1,0.0,0.0,1.0,1,1,0.0,0.0,126,5,228,238
199,0,1,0.0,0.0,1.0,1,1,0.0,0.0,0,119,393,502
200,0,1,0.0,0.0,1.0,0,0,0.0,0.0,53,201,875,754
201,0,1,0.0,1.0,0.0,0,1,0.0,0.0,8,12,173,373
202,0,1,0.0,1.0,0.0,0,0,0.0,0.0,67,301,3896490,351
203,0,1,0.0,1.0,0.0,0,0,0.0,0.0,20,20,106,133
204,0,1,0.0,1.0,0.0,1,0,0.08,0.0,26,112,206,32
205,0,1,0.0,0.0,1.0,0,1,0.0,0.0,86,54,259,1371
206,0,1,0.0,1.0,0.0,0,1,0.0,0.0,51,98,1013,996
207,0,1,0.0,0.0,1.0,1,0,0.11,0.0,26,16,738,544
208,0,1,0.0,1.0,0.0,0,1,0.0,0.0,18,133,1008,517
209,0,1,0.0,0.0,1.0,1,0,0.0,0.0,96,142,2441,396
210,0,1,0.0,1.0,0.0,0,0,0.0,0.0,17,63,416,292
211,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,70,516,463
212,0,1,0.0,0.0,1.0,1,0,0.0,0.0,62,403,8711,345
213,0,1,0.0,0.0,1.0,0,0,0.0,0.0,86,15,433,584
214,0,1,0.0,1.0,0.0,1,0,0.0,0.0,148,990,18515,1000
215,0,1,0.0,1.0,0.0,0,1,0.0,0.0,1,12,70,67
216,0,1,0.0,0.0,1.0,0,0,0.22,0.0,39,26,5863,157
217,0,1,0.0,0.0,1.0,0,0,0.36,0.0,35,2,1677,716
218,0,1,0.0,1.0,0.0,0,0,0.0,0.0,103,24,617,272
219,0,1,0.0,1.0,0.0,1,0,0.0,0.0,0,411,31182,414
220,0,1,0.0,1.0,0.0,0,1,0.0,0.0,61,217,1152,292
221,0,1,0.0,0.0,1.0,0,0,0.15,0.0,44,156,8578,164
222,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,389,4347,748
223,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,8,319,335
224,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,3,189,177
225,0,1,0.0,1.0,0.0,0,1,0.0,0.0,112,22,743,331
226,0,1,0.0,0.0,1.0,0,0,0.18,0.0,123,59,11204,124
227,0,1,0.0,1.0,0.0,0,1,0.0,0.0,24,144,419,271
228,0,1,0.0,0.0,1.0,0,0,0.0,0.0,34,2,81,268
229,0,1,0.0,0.0,1.0,0,0,0.0,0.0,19,78,947,582
230,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,28,206,333
231,0,1,0.0,1.0,0.0,0,0,0.0,0.0,42,111,541,701
232,0,1,0.0,1.0,0.0,0,0,0.18,0.0,50,6,392,237
233,0,1,0.0,0.0,1.0,0,0,0.22,0.0,67,4,4177,3678
234,0,1,0.0,0.0,1.0,1,0,0.17,0.0,134,31,265,321
235,0,1,0.0,1.0,0.0,0,0,0.0,0.0,101,86,272,1486
236,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,240,425,917
237,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,11,150,178
238,0,1,0.0,0.0,1.0,0,1,0.0,0.0,17,44,711,673
239,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,9,89,121
240,0,1,0.0,0.0,1.0,0,1,0.0,0.0,32,62,742,653
241,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,0,96,50
242,0,1,1.0,0.0,0.0,1,1,0.0,0.0,80,15,77,107
243,0,1,0.0,1.0,0.0,0,1,0.0,0.0,2,53,195,395
244,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,2,9,13
245,0,1,0.0,1.0,0.0,1,0,0.0,0.0,146,52,10794,3164
246,0,1,0.0,0.0,1.0,0,0,0.19,0.0,0,1,104,15
247,0,1,0.0,0.0,1.0,1,1,0.0,0.0,0,62,318,569
248,0,1,0.0,0.0,1.0,0,0,0.18,0.0,0,247,355,137
249,0,1,0.0,0.0,1.0,0,1,0.31,0.0,0,9,99,488
250,0,1,0.0,0.0,1.0,0,0,0.0,0.0,6,13,300,372
251,0,1,0.0,0.0,1.0,0,0,0.15,0.0,0,204,139,61
252,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,0,13,77
253,0,1,0.0,0.0,1.0,0,1,0.22,0.14,0,51,606,430
254,0,1,0.0,1.0,0.0,0,0,0.0,0.0,64,15,428,333
255,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,108,494,545
256,0,1,0.0,1.0,0.0,0,1,0.24,0.0,0,353,1261,2187
257,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,5,68,87
